Name,Location,Rank Info
University of Dayton,"Dayton, OH",#124 in National Universities
University of Nebraska--Lincoln,"Lincoln, NE",#124 in National Universities
Delaware Valley University,"Doylestown, PA",#126 in Regional Universities North
Framingham State University,"Framingham, MA",#126 in Regional Universities North
Grove City College,"Grove City, PA",#126 in National Liberal Arts Colleges
Kutztown University of Pennsylvania,"Kutztown, PA",#126 in Regional Universities North
Mount St. Mary College,"Newburgh, NY",#126 in Regional Universities North
Randolph-Macon College,"Ashland, VA",#126 in National Liberal Arts Colleges
Albion College,"Albion, MI",#128 in National Liberal Arts Colleges
Central College,"Pella, IA",#128 in National Liberal Arts Colleges
Eckerd College,"St. Petersburg, FL",#128 in National Liberal Arts Colleges
Wartburg College,"Waverly, IA",#128 in National Liberal Arts Colleges
Westminster College,"New Wilmington, PA",#128 in National Liberal Arts Colleges
Whittier College,"Whittier, CA",#128 in National Liberal Arts Colleges
Daemen College,"Amherst, NY",#130 in Regional Universities North
Delaware State University,"Dover, DE",#130 in Regional Universities North
Lasell College,"Newton, MA",#130 in Regional Universities North
Southern Connecticut State University,"New Haven, CT",#130 in Regional Universities North
Utica College,"Utica, NY",#130 in Regional Universities North
Hofstra University,"Hempstead, NY",#132 in National Universities
Louisiana State University--Baton Rouge,"Baton Rouge, LA",#133 in National Universities
Mercer University,"Macon, GA",#133 in National Universities
The New School,"New York, NY",#133 in National Universities
Rutgers University--Newark,"Newark, NJ",#133 in National Universities
University of Arkansas,"Fayetteville, AR",#133 in National Universities
University of Cincinnati,"Cincinnati, OH",#133 in National Universities
University of Kentucky,"Lexington, KY",#133 in National Universities
McDaniel College,"Westminster, MD",#134 in National Liberal Arts Colleges
Siena College,"Loudonville, NY",#134 in National Liberal Arts Colleges
St. Norbert College,"De Pere, WI",#134 in National Liberal Arts Colleges
Sweet Briar College,"Sweet Briar, VA",#134 in National Liberal Arts Colleges
Centenary University,"Hackettstown, NJ",#135 in Regional Universities North
St. Joseph's College,"Standish, ME",#136 in Regional Universities North
Chestnut Hill College,"Philadelphia, PA",#137 in Regional Universities North
Clarion University of Pennsylvania,"Clarion, PA",#137 in Regional Universities North
College of St. Elizabeth,"Morristown, NJ",#137 in Regional Universities North
CUNY--Lehman College,"Bronx, NY",#137 in Regional Universities North
Fitchburg State University,"Fitchburg, MA",#137 in Regional Universities North
Georgian Court University,"Lakewood, NJ",#137 in Regional Universities North
Kean University,"Union, NJ",#137 in Regional Universities North
Lock Haven University of Pennsylvania,"Lock Haven, PA",#137 in Regional Universities North
Salem State University,"Salem, MA",#137 in Regional Universities North
Illinois College,"Jacksonville, IL",#138 in National Liberal Arts Colleges
Roanoke College,"Salem, VA",#138 in National Liberal Arts Colleges
George Mason University,"Fairfax, VA",#140 in National Universities
New Jersey Institute of Technology,"Newark, NJ",#140 in National Universities
San Diego State University,"San Diego, CA",#140 in National Universities
University of South Florida,"Tampa, FL",#140 in National Universities
Washington State University,"Pullman, WA",#140 in National Universities
Alma College,"Alma, MI",#141 in National Liberal Arts Colleges
Hiram College,"Hiram, OH",#141 in National Liberal Arts Colleges
Susquehanna University,"Selinsgrove, PA",#141 in National Liberal Arts Colleges
University of Minnesota--Morris,"Morris, MN",#141 in National Liberal Arts Colleges
University of North Carolina--Asheville,"Asheville, NC",#141 in National Liberal Arts Colleges
Wesleyan College,"Macon, GA",#141 in National Liberal Arts Colleges
Kansas State University,"Manhattan, KS",#145 in National Universities
Oregon State University,"Corvallis, OR",#145 in National Universities
St. John Fisher College,"Rochester, NY",#145 in National Universities
University of Illinois--Chicago,"Chicago, IL",#145 in National Universities
University of Mississippi,"University, MS",#145 in National Universities
University of Texas--Dallas,"Richardson, TX",#145 in National Universities
Bard College at Simon's Rock,"Great Barrington, MA",#147 in National Liberal Arts Colleges
Centenary College of Louisiana,"Shreveport, LA",#147 in National Liberal Arts Colleges
Franklin College,"Franklin, IN",#147 in National Liberal Arts Colleges
Georgetown College,"Georgetown, KY",#147 in National Liberal Arts Colleges
Houghton College,"Houghton, NY",#147 in National Liberal Arts Colleges
Lycoming College,"Williamsport, PA",#147 in National Liberal Arts Colleges
Monmouth College,"Monmouth, IL",#147 in National Liberal Arts Colleges
Saint Vincent College,"Latrobe, PA",#147 in National Liberal Arts Colleges
Simpson College,"Indianola, IA",#147 in National Liberal Arts Colleges
Westminster College,"Fulton, MO",#147 in National Liberal Arts Colleges
William Jewell College,"Liberty, MO",#147 in National Liberal Arts Colleges
Adelphi University,"Garden City, NY",#151 in National Universities
Florida Institute of Technology,"Melbourne, FL",#151 in National Universities
Ohio University,"Athens, OH",#151 in National Universities
Seattle Pacific University,"Seattle, WA",#151 in National Universities
University at Albany--SUNY,"Albany, NY",#151 in National Universities
Oklahoma State University,"Stillwater, OK",#156 in National Universities
University of Massachusetts--Lowell,"Lowell, MA",#156 in National Universities
University of Rhode Island,"Kingston, RI",#156 in National Universities
Doane University,"Crete, NE",#158 in National Liberal Arts Colleges
Wittenberg University,"Springfield, OH",#158 in National Liberal Arts Colleges
Biola University,"La Mirada, CA",#159 in National Universities
Illinois State University,"Normal, IL",#159 in National Universities
University of Alabama--Birmingham,"Birmingham, AL",#159 in National Universities
University of Hawaii--Manoa,"Honolulu, HI",#159 in National Universities
University of La Verne,"La Verne, CA",#159 in National Universities
University of Maryland--Baltimore County,"Baltimore, MD",#159 in National Universities
Guilford College,"Greensboro, NC",#160 in National Liberal Arts Colleges
Morehouse College,"Atlanta, GA",#160 in National Liberal Arts Colleges
Warren Wilson College,"Asheville, NC",#160 in National Liberal Arts Colleges
Carthage College,"Kenosha, WI",#163 in National Liberal Arts Colleges
Meredith College,"Raleigh, NC",#163 in National Liberal Arts Colleges
Elmira College,"Elmira, NY",#165 in National Liberal Arts Colleges
Hartwick College,"Oneonta, NY",#165 in National Liberal Arts Colleges
Immaculata University,"Immaculata, PA",#165 in National Universities
Maryville University of St. Louis,"St Louis, MO",#165 in National Universities
Missouri University of Science & Technology,"Rolla, MO",#165 in National Universities
Moravian College,"Bethlehem, PA",#165 in National Liberal Arts Colleges
St. John's University,"Queens, NY",#165 in National Universities
University of California--Merced,"Merced, CA",#165 in National Universities
University of Louisville,"Louisville, KY",#165 in National Universities
College of Idaho,"Caldwell, ID",#168 in National Liberal Arts Colleges
Covenant College,"Lookout Mountain, GA",#168 in National Liberal Arts Colleges
Emory and Henry College,"Emory, VA",#168 in National Liberal Arts Colleges
Gordon College,"Wenham, MA",#168 in National Liberal Arts Colleges
Wells College,"Aurora, NY",#168 in National Liberal Arts Colleges
Mississippi State University,"Mississippi State, MS",#171 in National Universities
Rowan University,"Glassboro, NJ",#171 in National Universities
University of Central Florida,"Orlando, FL",#171 in National Universities
University of Idaho,"Moscow, ID",#171 in National Universities
Virginia Commonwealth University,"Richmond, VA",#171 in National Universities
Kent State University,"Kent, OH",#176 in National Universities
Robert Morris University,"Moon Township, PA",#176 in National Universities
Texas Tech University,"Lubbock, TX",#176 in National Universities
Union University,"Jackson, TN",#176 in National Universities
University of Hartford,"West Hartford, CT",#176 in National Universities
Edgewood College,"Madison, WI",#181 in National Universities
Lesley University,"Cambridge, MA",#181 in National Universities
Lipscomb University,"Nashville, TN",#181 in National Universities
Suffolk University,"Boston, MA",#181 in National Universities
University of Maine,"Orono, ME",#181 in National Universities
University of Wyoming,"Laramie, WY",#181 in National Universities
Azusa Pacific University,"Azusa, CA",#187 in National Universities
Ball State University,"Muncie, IN",#187 in National Universities
Montclair State University,"Montclair, NJ",#187 in National Universities
Pace University,"New York, NY",#187 in National Universities
West Virginia University,"Morgantown, WV",#187 in National Universities
Andrews University,"Berrien Springs, MI",#192 in National Universities
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",#192 in National Universities
University of Houston,"Houston, TX",#192 in National Universities
University of New Mexico,"Albuquerque, NM",#192 in National Universities
University of North Dakota,"Grand Forks, ND",#192 in National Universities
Widener University,"Chester, PA",#192 in National Universities
New Mexico State University,"Las Cruces, NM",#198 in National Universities
North Dakota State University,"Fargo, ND",#198 in National Universities
Nova Southeastern University,"Ft. Lauderdale, FL",#198 in National Universities
University of North Carolina--Charlotte,"Charlotte, NC",#198 in National Universities
Bowling Green State University,"Bowling Green, OH",#202 in National Universities
California State University--Fullerton,"Fullerton, CA",#202 in National Universities
Dallas Baptist University,"Dallas, TX",#202 in National Universities
University of Massachusetts--Boston,"Boston, MA",#202 in National Universities
University of Nevada--Reno,"Reno, NV",#202 in National Universities
Central Michigan University,"Mount Pleasant, MI",#207 in National Universities
East Carolina University,"Greenville, NC",#207 in National Universities
Florida A&M University,"Tallahassee, FL",#207 in National Universities
Montana State University,"Bozeman, MT",#207 in National Universities
University of Alaska--Fairbanks,"Fairbanks, AK",#207 in National Universities
University of Colorado--Denver,"Denver, CO",#207 in National Universities
University of Massachusetts--Dartmouth,"North Dartmouth, MA",#207 in National Universities
University of Montana,"Missoula, MT",#207 in National Universities
Western Michigan University,"Kalamazoo, MI",#207 in National Universities
Florida International University,"Miami, FL",#216 in National Universities
Louisiana Tech University,"Ruston, LA",#216 in National Universities
South Dakota State University,"Brookings, SD",#216 in National Universities
Southern Illinois University--Carbondale,"Carbondale, IL",#216 in National Universities
University of Alabama--Huntsville,"Huntsville, AL",#216 in National Universities
University of Missouri--Kansas City,"Kansas City, MO",#216 in National Universities
Utah State University,"Logan, UT",#216 in National Universities
Ashland University,"Ashland, OH",#223 in National Universities
Benedictine University,"Lisle, IL",#223 in National Universities
California State University--Fresno,"Fresno, CA",#223 in National Universities
Gardner-Webb University,"Boiling Springs, NC",#223 in National Universities
Georgia State University,"Atlanta, GA",#223 in National Universities
Shenandoah University,"Winchester, VA",#223 in National Universities
University of South Dakota,"Vermillion, SD",#223 in National Universities
Wayne State University,"Detroit, MI",#223 in National Universities
Abraham Baldwin Agricultural College,"Tifton, GA",#60-#79 in Regional Colleges South
Adams State University,"Alamosa, CO",#96-#126 in Regional Universities West
Alabama Agricultural and Mechanical University,"Normal, AL",#114-#142 in Regional Universities South
Alabama State University,"Montgomery, AL",#114-#142 in Regional Universities South
Albright College,"Reading, PA",#173-#229 in National Liberal Arts Colleges
Allen University,"Columbia, SC",#173-#229 in National Liberal Arts Colleges
American International College,"Springfield, MA",#231-#300 in National Universities
American Jewish University,"Bel-Air, CA",#173-#229 in National Liberal Arts Colleges
Angelo State University,"San Angelo, TX",#96-#126 in Regional Universities West
Anna Maria College,"Paxton, MA",#146-#187 in Regional Universities North
Arkansas Baptist College,"Little Rock, AR",#60-#79 in Regional Colleges South
Atlanta Metropolitan State College,"Atlanta, GA",#60-#79 in Regional Colleges South
Augusta University,"Augusta, GA",#231-#300 in National Universities
Aurora University,"Aurora, IL",#126-#165 in Regional Universities Midwest
Ave Maria University,"Ave Maria, FL",#173-#229 in National Liberal Arts Colleges
Avila University,"Kansas City, MO",#126-#165 in Regional Universities Midwest
Bacone College,"Muskogee, OK",#26-#33 in Regional Colleges West
Barry University,"Miami Shores, FL",#231-#300 in National Universities
Bay State College,"Boston, MA",#38-#48 in Regional Colleges North
Becker College,"Worcester, MA",#38-#48 in Regional Colleges North
Benedict College,"Columbia, SC",#60-#79 in Regional Colleges South
Bethany College,"Bethany, WV",#173-#229 in National Liberal Arts Colleges
Bethany Lutheran College,"Mankato, MN",#173-#229 in National Liberal Arts Colleges
Bethel College,"North Newton, KS",#173-#229 in National Liberal Arts Colleges
Bethel University,"McKenzie, TN",#114-#142 in Regional Universities South
Bethune-Cookman University,"Daytona Beach, FL",#173-#229 in National Liberal Arts Colleges
Bismarck State College,"Bismarck, ND",#62-#80 in Regional Colleges Midwest
Black Hills State University,"Spearfish, SD",#126-#165 in Regional Universities Midwest
Bloomfield College,"Bloomfield, NJ",#173-#229 in National Liberal Arts Colleges
Boise State University,"Boise, ID",#231-#300 in National Universities
Bowie State University,"Bowie, MD",#146-#187 in Regional Universities North
Brewton-Parker College,"Mount Vernon, GA",#60-#79 in Regional Colleges South
Bridgewater College,"Bridgewater, VA",#173-#229 in National Liberal Arts Colleges
Bryn Athyn College of the New Church,"Bryn Athyn, PA",#173-#229 in National Liberal Arts Colleges
Cairn University,"Langhorne, PA",#146-#187 in Regional Universities North
California State University--Dominguez Hills,"Carson, CA",#96-#126 in Regional Universities West
California State University--East Bay,"Hayward, CA",#96-#126 in Regional Universities West
California University of Pennsylvania,"California, PA",#146-#187 in Regional Universities North
Calumet College of St. Joseph,"Whiting, IN",#126-#165 in Regional Universities Midwest
Cameron University,"Lawton, OK",#96-#126 in Regional Universities West
Cardinal Stritch University,"Milwaukee, WI",#231-#300 in National Universities
Central Christian College,"McPherson, KS",#62-#80 in Regional Colleges Midwest
Central Penn College,"Summerdale, PA",#38-#48 in Regional Colleges North
Central State University,"Wilberforce, OH",#62-#80 in Regional Colleges Midwest
Cheyney University of Pennsylvania,"Cheyney, PA",#173-#229 in National Liberal Arts Colleges
Chicago State University,"Chicago, IL",#126-#165 in Regional Universities Midwest
Chipola College,"Marianna, FL",#60-#79 in Regional Colleges South
Claflin University,"Orangeburg, SC",#173-#229 in National Liberal Arts Colleges
Clark Atlanta University,"Atlanta, GA",#231-#300 in National Universities
Clayton State University,"Morrow, GA",#114-#142 in Regional Universities South
Cleveland State University,"Cleveland, OH",#231-#300 in National Universities
College of New Rochelle,"New Rochelle, NY",#146-#187 in Regional Universities North
College of St. Joseph,"Rutland, VT",#38-#48 in Regional Colleges North
Colorado Christian University,"Lakewood, CO",#96-#126 in Regional Universities West
Colorado State University--Pueblo,"Pueblo, CO",#96-#126 in Regional Universities West
Columbia College Chicago,"Chicago, IL",#126-#165 in Regional Universities Midwest
Concordia University Texas,"Austin, TX",#96-#126 in Regional Universities West
Concord University,"Athens, WV",#114-#142 in Regional Universities South
Coppin State University,"Baltimore, MD",#146-#187 in Regional Universities North
Crowley's Ridge College,"Paragould, AR",#60-#79 in Regional Colleges South
CUNY--College of Staten Island,"Staten Island, NY",#146-#187 in Regional Universities North
CUNY--Medgar Evers College,"Brooklyn, NY",#38-#48 in Regional Colleges North
Curry College,"Milton, MA",#146-#187 in Regional Universities North
Davis and Elkins College,"Elkins, WV",#173-#229 in National Liberal Arts Colleges
Delta State University,"Cleveland, MS",#114-#142 in Regional Universities South
DeVry University,"Downers Grove, IL",#126-#165 in Regional Universities Midwest
Dillard University,"New Orleans, LA",#173-#229 in National Liberal Arts Colleges
Dominican College,"Orangeburg, NY",#146-#187 in Regional Universities North
D'Youville College,"Buffalo, NY",#146-#187 in Regional Universities North
East Central University,"Ada, OK",#96-#126 in Regional Universities West
Eastern Michigan University,"Ypsilanti, MI",#231-#300 in National Universities
Eastern Nazarene College,"Quincy, MA",#146-#187 in Regional Universities North
Eastern New Mexico University,"Portales, NM",#96-#126 in Regional Universities West
Eastern Oregon University,"La Grande, OR",#96-#126 in Regional Universities West
East Georgia State College,"Swainsboro, GA",#60-#79 in Regional Colleges South
East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA",#146-#187 in Regional Universities North
East Tennessee State University,"Johnson City, TN",#231-#300 in National Universities
East-West University,"Chicago, IL",#173-#229 in National Liberal Arts Colleges
Edinboro University of Pennsylvania,"Edinboro, PA",#146-#187 in Regional Universities North
Edward Waters College,"Jacksonville, FL",#60-#79 in Regional Colleges South
Emmanuel College,"Boston, MA",#173-#229 in National Liberal Arts Colleges
Erskine College,"Due West, SC",#173-#229 in National Liberal Arts Colleges
Fairmont State University,"Fairmont, WV",#114-#142 in Regional Universities South
Fayetteville State University,"Fayetteville, NC",#114-#142 in Regional Universities South
Felician University,"Lodi, NJ",#146-#187 in Regional Universities North
Finlandia University,"Hancock, MI",#62-#80 in Regional Colleges Midwest
Fisk University,"Nashville, TN",#173-#229 in National Liberal Arts Colleges
Five Towns College,"Dix Hills, NY",#38-#48 in Regional Colleges North
Florida Atlantic University,"Boca Raton, FL",#231-#300 in National Universities
Florida College,"Temple Terrace, FL",#60-#79 in Regional Colleges South
Fort Hays State University,"Hays, KS",#126-#165 in Regional Universities Midwest
Fort Lewis College,"Durango, CO",#173-#229 in National Liberal Arts Colleges
Fort Valley State University,"Fort Valley, GA",#114-#142 in Regional Universities South
Franklin Pierce University,"Rindge, NH",#146-#187 in Regional Universities North
Friends University,"Wichita, KS",#126-#165 in Regional Universities Midwest
Georgia Southern University,"Statesboro, GA",#231-#300 in National Universities
Georgia Southern University--Armstrong,"Savannah, GA",#114-#142 in Regional Universities South
Georgia Southwestern State University,"Americus, GA",#114-#142 in Regional Universities South
Gordon State College,"Barnesville, GA",#60-#79 in Regional Colleges South
Governors State University,"University Park, IL",#126-#165 in Regional Universities Midwest
Grace Bible College,"Grand Rapids, MI",#62-#80 in Regional Colleges Midwest
Graceland University,"Lamoni, IA",#126-#165 in Regional Universities Midwest
Grambling State University,"Grambling, LA",#114-#142 in Regional Universities South
Grand Canyon University,"Phoenix, AZ",#231-#300 in National Universities
Green Mountain College,"Poultney, VT",#146-#187 in Regional Universities North
Gwynedd Mercy University,"Gwynedd Valley, PA",#146-#187 in Regional Universities North
Hannibal-LaGrange University,"Hannibal, MO",#62-#80 in Regional Colleges Midwest
Harrisburg University of Science and Technology,"Harrisburg, PA",#146-#187 in Regional Universities North
Harris-Stowe State University,"St. Louis, MO",#62-#80 in Regional Colleges Midwest
Holy Cross College,"Notre Dame, IN",#173-#229 in National Liberal Arts Colleges
Holy Family University,"Philadelphia, PA",#146-#187 in Regional Universities North
Hope International University,"Fullerton, CA",#96-#126 in Regional Universities West
Husson University,"Bangor, ME",#146-#187 in Regional Universities North
Huston-Tillotson University,"Austin, TX",#26-#33 in Regional Colleges West
Indiana State University,"Terre Haute, IN",#231-#300 in National Universities
Indiana University East,"Richmond, IN",#126-#165 in Regional Universities Midwest
Indiana University--Kokomo,"Kokomo, IN",#62-#80 in Regional Colleges Midwest
Indiana University Northwest,"Gary, IN",#126-#165 in Regional Universities Midwest
Indiana University of Pennsylvania,"Indiana, PA",#231-#300 in National Universities
Indiana University--South Bend,"South Bend, IN",#126-#165 in Regional Universities Midwest
Indiana University Southeast,"New Albany, IN",#126-#165 in Regional Universities Midwest
Indian River State College,"Fort Pierce, FL",#60-#79 in Regional Colleges South
Jackson State University,"Jackson, MS",#231-#300 in National Universities
Jarvis Christian College,"Hawkins, TX",#26-#33 in Regional Colleges West
Johnson C. Smith University,"Charlotte, NC",#173-#229 in National Liberal Arts Colleges
Johnson State College,"Johnson, VT",#146-#187 in Regional Universities North
Judson College,"Marion, AL",#173-#229 in National Liberal Arts Colleges
Kendall College,"Chicago, IL",#62-#80 in Regional Colleges Midwest
Kennesaw State University,"Kennesaw, GA",#231-#300 in National Universities
The King's College,"New York, NY",#173-#229 in National Liberal Arts Colleges
LaGrange College,"LaGrange, GA",#173-#229 in National Liberal Arts Colleges
Lake Erie College,"Painesville, OH",#126-#165 in Regional Universities Midwest
Lakeland University,"Plymouth, WI",#126-#165 in Regional Universities Midwest
Lamar University,"Beaumont, TX",#231-#300 in National Universities
Lane College,"Jackson, TN",#60-#79 in Regional Colleges South
Langston University,"Langston, OK",#96-#126 in Regional Universities West
LeMoyne-Owen College,"Memphis, TN",#60-#79 in Regional Colleges South
Liberty University,"Lynchburg, VA",#231-#300 in National Universities
Lincoln College,"Lincoln, IL",#62-#80 in Regional Colleges Midwest
Lincoln University,"Jefferson City, MO",#126-#165 in Regional Universities Midwest
Lincoln University,"Lincoln University, PA",#146-#187 in Regional Universities North
Lindenwood University,"St. Charles, MO",#231-#300 in National Universities
Lindsey Wilson College,"Columbia, KY",#114-#142 in Regional Universities South
Livingstone College,"Salisbury, NC",#60-#79 in Regional Colleges South
Louisiana State University--Alexandria,"Alexandria, LA",#173-#229 in National Liberal Arts Colleges
Louisiana State University--Shreveport,"Shreveport, LA",#114-#142 in Regional Universities South
Lourdes University,"Sylvania, OH",#126-#165 in Regional Universities Midwest
Lyon College,"Batesville, AR",#173-#229 in National Liberal Arts Colleges
Marygrove College,"Detroit, MI",#126-#165 in Regional Universities Midwest
Marymount Manhattan College,"New York, NY",#173-#229 in National Liberal Arts Colleges
Maryville College,"Maryville, TN",#173-#229 in National Liberal Arts Colleges
Massachusetts College of Liberal Arts,"North Adams, MA",#173-#229 in National Liberal Arts Colleges
Medaille College,"Buffalo, NY",#146-#187 in Regional Universities North
Metropolitan College of New York,"New York, NY",#146-#187 in Regional Universities North
Metropolitan State University,"St. Paul, MN",#126-#165 in Regional Universities Midwest
Metropolitan State University of Denver,"Denver, CO",#96-#126 in Regional Universities West
Middle Georgia State University,"Macon, GA",#60-#79 in Regional Colleges South
Middle Tennessee State University,"Murfreesboro, TN",#231-#300 in National Universities
Minot State University,"Minot, ND",#126-#165 in Regional Universities Midwest
Mississippi Valley State University,"Itta Bena, MS",#114-#142 in Regional Universities South
Missouri Baptist University,"St. Louis, MO",#126-#165 in Regional Universities Midwest
Missouri Valley College,"Marshall, MO",#62-#80 in Regional Colleges Midwest
Missouri Western State University,"St. Joseph, MO",#62-#80 in Regional Colleges Midwest
Mitchell College,"New London, CT",#38-#48 in Regional Colleges North
Monroe College,"Bronx, NY",#146-#187 in Regional Universities North
Montana State University--Billings,"Billings, MT",#96-#126 in Regional Universities West
Montana State University--Northern,"Havre, MT",#26-#33 in Regional Colleges West
Morgan State University,"Baltimore, MD",#231-#300 in National Universities
National Louis University,"Chicago, IL",#231-#300 in National Universities
Neumann University,"Aston, PA",#146-#187 in Regional Universities North
New England College,"Henniker, NH",#146-#187 in Regional Universities North
New England Institute of Technology,"East Greenwich, RI",#38-#48 in Regional Colleges North
New Jersey City University,"Jersey City, NJ",#146-#187 in Regional Universities North
Newman University,"Wichita, KS",#126-#165 in Regional Universities Midwest
New Mexico Highlands University,"Las Vegas, NM",#96-#126 in Regional Universities West
Norfolk State University,"Norfolk, VA",#114-#142 in Regional Universities South
North Carolina A&T State University,"Greensboro, NC",#231-#300 in National Universities
Northeastern Illinois University,"Chicago, IL",#126-#165 in Regional Universities Midwest
Northeastern State University,"Tahlequah, OK",#96-#126 in Regional Universities West
Northern Arizona University,"Flagstaff, AZ",#231-#300 in National Universities
Northern Illinois University,"DeKalb, IL",#231-#300 in National Universities
Northland College,"Ashland, WI",#173-#229 in National Liberal Arts Colleges
Northwestern Oklahoma State University,"Alva, OK",#96-#126 in Regional Universities West
Northwestern State University of Louisiana,"Natchitoches, LA",#114-#142 in Regional Universities South
Notre Dame College of Ohio,"Cleveland, OH",#126-#165 in Regional Universities Midwest
Nyack College,"Nyack, NY",#146-#187 in Regional Universities North
Oakland University,"Rochester, MI",#231-#300 in National Universities
Oglethorpe University,"Atlanta, GA",#173-#229 in National Liberal Arts Colleges
Ohio Christian University,"Circleville, OH",#62-#80 in Regional Colleges Midwest
Oklahoma Panhandle State University,"Goodwell, OK",#26-#33 in Regional Colleges West
Oklahoma State University Institute of Technology--Okmulgee,"Okmulgee, OK",#26-#33 in Regional Colleges West
Old Dominion University,"Norfolk, VA",#231-#300 in National Universities
Ouachita Baptist University,"Arkadelphia, AR",#173-#229 in National Liberal Arts Colleges
Pacific Union College,"Angwin, CA",#173-#229 in National Liberal Arts Colleges
Paine College,"Augusta, GA",#173-#229 in National Liberal Arts Colleges
Park University,"Parkville, MO",#126-#165 in Regional Universities Midwest
Philander Smith College,"Little Rock, AR",#173-#229 in National Liberal Arts Colleges
Pine Manor College,"Chestnut Hill, MA",#173-#229 in National Liberal Arts Colleges
Portland State University,"Portland, OR",#231-#300 in National Universities
Post University,"Waterbury, CT",#146-#187 in Regional Universities North
Prairie View A&M University,"Prairie View, TX",#231-#300 in National Universities
Providence Christian College,"Pasadena, CA",#173-#229 in National Liberal Arts Colleges
Purchase College--SUNY,"Purchase, NY",#173-#229 in National Liberal Arts Colleges
Purdue University--Fort Wayne,"Fort Wayne, IN",#126-#165 in Regional Universities Midwest
Purdue University--Northwest,"Hammond, IN",#126-#165 in Regional Universities Midwest
Regent University,"Virginia Beach, VA",#231-#300 in National Universities
Rhode Island College,"Providence, RI",#146-#187 in Regional Universities North
Rivier University,"Nashua, NH",#146-#187 in Regional Universities North
Rochester College,"Rochester Hills, MI",#62-#80 in Regional Colleges Midwest
Rogers State University,"Claremore, OK",#26-#33 in Regional Colleges West
Rosemont College,"Rosemont, PA",#146-#187 in Regional Universities North
Rust College,"Holly Springs, MS",#60-#79 in Regional Colleges South
Saginaw Valley State University,"University Center, MI",#126-#165 in Regional Universities Midwest
Sam Houston State University,"Huntsville, TX",#231-#300 in National Universities
San Francisco State University,"San Francisco, CA",#231-#300 in National Universities
Savannah State University,"Savannah, GA",#114-#142 in Regional Universities South
Schreiner University,"Kerrville, TX",#173-#229 in National Liberal Arts Colleges
Shawnee State University,"Portsmouth, OH",#62-#80 in Regional Colleges Midwest
Shaw University,"Raleigh, NC",#60-#79 in Regional Colleges South
Shepherd University,"Shepherdstown, WV",#173-#229 in National Liberal Arts Colleges
Sierra Nevada College,"Incline Village, NV",#96-#126 in Regional Universities West
Silver Lake College,"Manitowoc, WI",#126-#165 in Regional Universities Midwest
South Carolina State University,"Orangeburg, SC",#114-#142 in Regional Universities South
Southeastern Louisiana University,"Hammond, LA",#114-#142 in Regional Universities South
Southeastern Oklahoma State University,"Durant, OK",#96-#126 in Regional Universities West
Southeastern University,"Lakeland, FL",#114-#142 in Regional Universities South
Southern Arkansas University,"Magnolia, AR",#114-#142 in Regional Universities South
Southern Nazarene University,"Bethany, OK",#96-#126 in Regional Universities West
Southern University and A&M College,"Baton Rouge, LA",#114-#142 in Regional Universities South
Southern University--New Orleans,"New Orleans, LA",#114-#142 in Regional Universities South
Southern Vermont College,"Bennington, VT",#38-#48 in Regional Colleges North
Southern Virginia University,"Buena Vista, VA",#173-#229 in National Liberal Arts Colleges
Southern Wesleyan University,"Central, SC",#114-#142 in Regional Universities South
South University,"Savannah, GA",#114-#142 in Regional Universities South
Southwest Baptist University,"Bolivar, MO",#126-#165 in Regional Universities Midwest
Southwestern Assemblies of God University,"Waxahachie, TX",#96-#126 in Regional Universities West
Southwestern College,"Winfield, KS",#126-#165 in Regional Universities Midwest
Southwestern Oklahoma State University,"Weatherford, OK",#96-#126 in Regional Universities West
Southwest Minnesota State University,"Marshall, MN",#126-#165 in Regional Universities Midwest
Spalding University,"Louisville, KY",#231-#300 in National Universities
Spring Hill College,"Mobile, AL",#173-#229 in National Liberal Arts Colleges
Sterling College,"Sterling, KS",#62-#80 in Regional Colleges Midwest
Stillman College,"Tuscaloosa, AL",#173-#229 in National Liberal Arts Colleges
Sul Ross State University,"Alpine, TX",#96-#126 in Regional Universities West
SUNY College--Old Westbury,"Old Westbury, NY",#146-#187 in Regional Universities North
Tarleton State University,"Stephenville, TX",#96-#126 in Regional Universities West
Tennessee State University,"Nashville, TN",#231-#300 in National Universities
Tennessee Technological University,"Cookeville, TN",#231-#300 in National Universities
Texas A&M University--Commerce,"Commerce, TX",#231-#300 in National Universities
Texas A&M University--Corpus Christi,"Corpus Christi, TX",#231-#300 in National Universities
Texas A&M University--Kingsville,"Kingsville, TX",#231-#300 in National Universities
Texas A&M University--Texarkana,"Texarkana, TX",#96-#126 in Regional Universities West
Texas Southern University,"Houston, TX",#231-#300 in National Universities
Texas State University,"San Marcos, TX",#231-#300 in National Universities
Texas Woman's University,"Denton, TX",#231-#300 in National Universities
Thiel College,"Greenville, PA",#173-#229 in National Liberal Arts Colleges
Thomas College,"Waterville, ME",#146-#187 in Regional Universities North
Thomas More College of Liberal Arts,"Merrimack, NH",#173-#229 in National Liberal Arts Colleges
Thomas University,"Thomasville, GA",#114-#142 in Regional Universities South
Tougaloo College,"Tougaloo, MS",#173-#229 in National Liberal Arts Colleges
Touro College,"New York, NY",#146-#187 in Regional Universities North
Trevecca Nazarene University,"Nashville, TN",#231-#300 in National Universities
