Name,Location,Rank Info
Haverford College,"Haverford, PA",#18 in National Liberal Arts Colleges
Massachusetts Maritime Academy,"Buzzards Bay, MA",#18 in Regional Universities North
St. Francis University,"Loretto, PA",#18 in Regional Universities North
University of Notre Dame,"Notre Dame, IN",#18 in National Universities
Washington University in St. Louis,"St. Louis, MO",#18 in National Universities
Concordia College,"Bronxville, NY",#19 in Regional Colleges North
Dominican University,"River Forest, IL",#19 in Regional Universities Midwest
Florida Southern College,"Lakeland, FL",#19 in Regional Universities South
Franciscan University of Steubenville,"Steubenville, OH",#19 in Regional Universities Midwest
La Roche College,"Pittsburgh, PA",#19 in Regional Colleges North
Lees-McRae College,"Banner Elk, NC",#19 in Regional Colleges South
Otterbein University,"Westerville, OH",#19 in Regional Universities Midwest
St. Gregory's University,"Shawnee, OK",#19 in Regional Colleges West
University of Detroit Mercy,"Detroit, MI",#19 in Regional Universities Midwest
University of Mount Olive,"Mount Olive, NC",#19 in Regional Colleges South
Vermont Technical College,"Randolph Center, VT",#19 in Regional Colleges North
Western Washington University,"Bellingham, WA",#19 in Regional Universities West
Westminster College,"Salt Lake City, UT",#19 in Regional Universities West
Adrian College,"Adrian, MI",#20 in Regional Colleges Midwest
CUNY--Baruch College,"New York, NY",#20 in Regional Universities North
Georgetown University,"Washington, DC",#20 in National Universities
Queens University of Charlotte,"Charlotte, NC",#20 in Regional Universities South
Southwestern Adventist University,"Keene, TX",#20 in Regional Colleges West
Trinity Christian College,"Palos Heights, IL",#20 in Regional Colleges Midwest
Brevard College,"Brevard, NC",#21 in Regional Colleges South
Emory University,"Atlanta, GA",#21 in National Universities
Florida Memorial University,"Miami, FL",#21 in Regional Colleges South
Southwestern Christian University,"Bethany, OK",#21 in Regional Colleges West
St. Bonaventure University,"St. Bonaventure, NY",#21 in Regional Universities North
St. Mary's University of San Antonio,"San Antonio, TX",#21 in Regional Universities West
Toccoa Falls College,"Toccoa Falls, GA",#21 in Regional Colleges South
United States Naval Academy,"Annapolis, MD",#21 in National Liberal Arts Colleges
University of California--Berkeley,"Berkeley, CA",#21 in National Universities
University of California--Los Angeles,"Los Angeles, CA",#21 in National Universities
University of Southern California,"Los Angeles, CA",#21 in National Universities
University of Tampa,"Tampa, FL",#21 in Regional Universities South
Wesleyan University,"Middletown, CT",#21 in National Liberal Arts Colleges
Canisius College,"Buffalo, NY",#22 in Regional Universities North
Dean College,"Franklin, MA",#22 in Regional Colleges North
Gallaudet University,"Washington, DC",#22 in Regional Universities North
Pacific University,"Forest Grove, OR",#22 in Regional Universities West
Paul Smith's College,"Paul Smiths, NY",#22 in Regional Colleges North
Saint Mary-of-the-Woods College,"St. Mary-of-the-Woods, IN",#22 in Regional Colleges Midwest
University of Providence,"Great Falls, MT",#22 in Regional Colleges West
Bates College,"Lewiston, ME",#23 in National Liberal Arts Colleges
Colorado College,"Colorado Springs, CO",#23 in National Liberal Arts Colleges
George Fox University,"Newberg, OR",#23 in Regional Universities West
Harding University,"Searcy, AR",#23 in Regional Universities South
LeTourneau University,"Longview, TX",#23 in Regional Universities West
Lewis-Clark State College,"Lewiston, ID",#23 in Regional Colleges West
Lewis University,"Romeoville, IL",#23 in Regional Universities Midwest
Milligan College,"Milligan College, TN",#23 in Regional Universities South
New Mexico Institute of Mining and Technology,"Socorro, NM",#23 in Regional Universities West
Trine University,"Angola, IN",#23 in Regional Colleges Midwest
University of Richmond,"Univ. of Richmond, VA",#23 in National Liberal Arts Colleges
Webster University,"St. Louis, MO",#23 in Regional Universities Midwest
Buena Vista University,"Storm Lake, IA",#24 in Regional Colleges Midwest
Castleton University,"Castleton, VT",#24 in Regional Colleges North
Colorado Mesa University,"Grand Junction, CO",#24 in Regional Colleges West
Lebanon Valley College,"Annville, PA",#24 in Regional Universities North
Mars Hill University,"Mars Hill, NC",#24 in Regional Colleges South
Bennett College,"Greensboro, NC",#25 in Regional Colleges South
Carnegie Mellon University,"Pittsburgh, PA",#25 in National Universities
Manchester University,"North Manchester, IN",#25 in Regional Colleges Midwest
Mount St. Mary's University,"Emmitsburg, MD",#25 in Regional Universities North
Rutgers University--Camden,"Camden, NJ",#25 in Regional Universities North
Springfield College,"Springfield, MA",#25 in Regional Universities North
SUNY College of Technology--Canton,"Canton, NY",#25 in Regional Colleges North
University of Hawaii--West Oahu,"Kapolei, HI",#25 in Regional Colleges West
University of Northern Iowa,"Cedar Falls, IA",#25 in Regional Universities Midwest
University of Virginia,"Charlottesville, VA",#25 in National Universities
Winthrop University,"Rock Hill, SC",#25 in Regional Universities South
Xavier University of Louisiana,"New Orleans, LA",#25 in Regional Universities South
Alderson Broaddus University,"Philippi, WV",#26 in Regional Colleges South
Barnard College,"New York, NY",#26 in National Liberal Arts Colleges
Eureka College,"Eureka, IL",#26 in Regional Colleges Midwest
Kenyon College,"Gambier, OH",#26 in National Liberal Arts Colleges
Kettering University,"Flint, MI",#26 in Regional Universities Midwest
Keystone College,"La Plume, PA",#26 in Regional Colleges North
Macalester College,"St. Paul, MN",#26 in National Liberal Arts Colleges
Mount Aloysius College,"Cresson, PA",#26 in Regional Colleges North
Mount Ida College,"Newton, MA",#26 in Regional Colleges North
Oberlin College,"Oberlin, OH",#26 in National Liberal Arts Colleges
Scripps College,"Claremont, CA",#26 in National Liberal Arts Colleges
St. Ambrose University,"Davenport, IA",#26 in Regional Universities Midwest
United States Air Force Academy,"USAF Academy, CO",#26 in National Liberal Arts Colleges
University of St. Thomas,"Houston, TX",#26 in Regional Universities West
Welch College,"Gallatin, TN",#26 in Regional Colleges South
